freq,stk_flow,indic_et,partner,sitc06,geo,TIME_PERIOD,values
M,IMP,TRD_VAL,VN,SITC7,EA20,2021-08-01,1448.5
M,IMP,TRD_VAL,VN,SITC8,EA20,2021-08-01,875
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2021-09-01,2428.3
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2021-09-01,4173.2
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2021-09-01,19161.2
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2021-09-01,9177.3
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2021-09-01,4225.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2021-09-01,6884.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2021-09-01,18215.8
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2021-09-01,6194.9
M,IMP,TRD_VAL,US,SITC5,EA20,2021-09-01,5506.4
M,IMP,TRD_VAL,US,SITC6,EA20,2021-09-01,902.2
M,IMP,TRD_VAL,US,SITC7,EA20,2021-09-01,6123
M,IMP,TRD_VAL,US,SITC8,EA20,2021-09-01,2006
M,IMP,TRD_VAL,VN,SITC5,EA20,2021-09-01,25.8
M,IMP,TRD_VAL,VN,SITC6,EA20,2021-09-01,379.2
M,IMP,TRD_VAL,VN,SITC7,EA20,2021-09-01,1513.2
M,IMP,TRD_VAL,VN,SITC8,EA20,2021-09-01,826.3
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2021-10-01,2390.5
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2021-10-01,4136.6
